sitio,trilha,ponto,quadrante,dist,cap,q,m,e,rep,onça
CT-RBG-2-82,3,40,1,0,0,,,,,
CT-RBG-2-82,3,40,2,370,42,,,,,
CT-RBG-2-82,3,40,3,680,75,,,,,
CT-RBG-2-82,3,40,4,772,60.3,,,,,
CT-RBG-2-82,3,30,1,283,42,,,,,
CT-RBG-2-82,3,30,2,140,65,,,,,
CT-RBG-2-82,3,30,3,0,0,,,,,
CT-RBG-2-82,3,30,4,468,41,,,,,
CT-RBG-2-82,3,20,1,890,65,,,,,
CT-RBG-2-82,3,20,2,347,31,,,,,
CT-RBG-2-82,3,20,3,540,37,,,,,
CT-RBG-2-82,3,20,4,245,32,,,,,
CT-RBG-2-82,3,10,1,228,49,,,,,
CT-RBG-2-82,3,10,2,430,32,,,,rep p20 q4,
CT-RBG-2-82,3,10,3,492,39,,,,,
CT-RBG-2-82,3,10,4,539,37,,,,,
CT-RBG-2-96,1,50,1,207,35,,,,,
CT-RBG-2-96,1,50,2,173,46,,,,,
CT-RBG-2-96,1,50,3,614,59,,,,,
CT-RBG-2-96,1,50,4,523,40,,,,,
CT-RBG-2-96,1,40,1,405,42,,,,,
CT-RBG-2-96,1,40,2,431,67,,,,,
CT-RBG-2-96,1,40,3,681,32,,,,,
CT-RBG-2-96,1,40,4,608,48,,,,,
CT-RBG-2-96,1,30,1,139,38,,,,,
CT-RBG-2-96,1,30,2,301,42,,,,,
CT-RBG-2-96,1,30,3,257,40,,,,,
CT-RBG-2-96,1,30,4,87,46,,,,,
CT-RBG-2-96,1,20,1,691,42,,,,,
CT-RBG-2-96,1,20,2,624,31,,,,,
CT-RBG-2-96,1,20,3,128,40,,,,,
CT-RBG-2-96,1,20,4,112,51,,,,,
CT-RBG-2-96,1,10,1,142,43,,,,,
CT-RBG-2-96,1,10,2,98,37,,,,,
CT-RBG-2-96,1,10,3,496,278,,,,,
CT-RBG-2-96,1,10,4,526,36,,,,,
CT-RBG-2-96,1,50,1,538,53,,,,,
CT-RBG-2-96,2,50,2,565,70,,,,,
CT-RBG-2-96,2,50,3,631,103,,,,,
CT-RBG-2-96,2,50,4,659,61,,,,,
CT-RBG-2-96,2,40,1,128,33,,,,,
CT-RBG-2-96,2,40,2,192,35,,,,,
CT-RBG-2-96,2,40,3,330,32,,,,,
CT-RBG-2-96,2,40,4,821,41,,,,,
CT-RBG-2-96,2,30,1,264,61,,,,,
CT-RBG-2-96,2,30,2,392,67,,,,,
CT-RBG-2-96,2,30,3,371,32,,,,,
CT-RBG-2-96,2,30,4,746,170,,,,,
CT-RBG-2-96,2,20,1,405,43,,,,,
CT-RBG-2-96,2,20,2,329,58,,,,,
CT-RBG-2-96,2,20,3,296,40,,,,,
CT-RBG-2-96,2,20,4,377,32,,,,,
CT-RBG-2-96,2,10,1,144,97,,,,,
CT-RBG-2-96,2,10,2,122,43,,,,,
CT-RBG-2-96,2,10,3,686,57,,,,,
CT-RBG-2-96,2,10,4,387,133,,,,,
CT-RBG-2-96,3,50,1,429,181,,,,,
CT-RBG-2-96,3,50,2,281,48,,,,,
CT-RBG-2-96,3,50,3,607,50,,,,,
CT-RBG-2-96,3,50,4,481,32,,,,,
CT-RBG-2-96,3,40,1,418,54,,,,,
CT-RBG-2-96,3,40,2,197,132,,,,,
CT-RBG-2-96,3,40,3,205,32,,,,,
CT-RBG-2-96,3,40,4,667,33,,,,,
CT-RBG-2-96,3,30,1,30,32,,,,,
CT-RBG-2-96,3,30,2,250,53,,,,,
CT-RBG-2-96,3,30,3,496,32,,,,rep p40 q3,
CT-RBG-2-96,3,30,4,678,58,,,,,
CT-RBG-2-96,3,20,1,241,47,,,,,
CT-RBG-2-96,3,20,2,31,58,,,,rep p30q4,
CT-RBG-2-96,3,20,3,210,59,,,,,
CT-RBG-2-96,3,20,4,350,83,,,,,
CT-RBG-2-96,3,10,1,52,72,,,,,
CT-RBG-2-96,3,10,2,190,43,,,,,
CT-RBG-2-96,3,10,3,321,79,,,,,
